2022-07-05 14:44:13, Camera 1, car, 768, 218, 146.30993247402023
2022-07-05 14:48:48, Camera 1, car, 768, 218, 146.30993247402023
2022-07-05 14:49:38, Camera 1, car, 902, 217, 135.0
2022-07-05 14:49:50, Camera 1, motorbike, 545, 216, -90.0
2022-07-05 14:50:27, Camera 1, motorbike, 742, 217, 153.434948822922
2022-07-05 14:50:35, Camera 1, motorbike, 788, 218, 135.0
2022-07-05 14:50:57, Camera 1, motorbike, 671, 215, -45.0
2022-07-05 14:51:27, Camera 1, motorbike, 838, 217, 153.434948822922
2022-07-05 14:52:53, Camera 1, motorbike, 890, 217, 146.30993247402023
2022-07-05 14:53:46, Camera 1, motorbike, 852, 217, 153.434948822922
2022-07-05 14:53:56, Camera 1, motorbike, 906, 217, 153.434948822922
2022-07-05 14:54:10, Camera 1, car, 661, 216, -26.56505117707799
2022-07-05 14:54:45, Camera 1, motorbike, 606, 216, -45.0
2022-07-05 14:55:12, Camera 1, motorbike, 520, 216, -90.0
2022-07-05 14:55:15, Camera 1, motorbike, 576, 216, -26.56505117707799
2022-07-05 14:55:30, Camera 1, motorbike, 832, 268, 155.22485943116808
2022-07-05 14:55:45, Camera 1, car, 796, 217, 146.30993247402023
2022-07-05 14:58:25, Camera 1, motorbike, 908, 218, 153.434948822922
2022-07-05 14:58:40, Camera 1, motorbike, 563, 216, -90.0
2022-07-05 14:58:54, Camera 1, motorbike, 841, 217, 146.30993247402023
2022-07-05 14:58:58.999002, Camera 1, motorbike, 510, 215, -116.56505117707799
2022-07-05 15:24:24, Camera 1, motorbike, 888, 218, 135.0
2022-07-05 15:53:38, Camera 1, motorbike, 888, 218, 135.0
2022-07-05 15:54:19, Camera 1, motorbike, 852, 217, 153.434948822922
2022-07-05 15:54:38, Camera 1, car, 660, 216, -45.0
2022-07-05 15:58:23, Camera 1, motorbike, 888, 218, 135.0
2022-07-05 15:59:07, Camera 1, motorbike, 852, 217, 153.434948822922
2022-07-05 15:59:28, Camera 1, car, 660, 216, -45.0
2022-07-05 16:00:01, Camera 1, motorbike, 606, 216, -45.0
2022-07-05 18:13:22, Camera 1, motorbike, 656, 73, -62.409302746956854
2022-07-05 18:13:31, Camera 1, motorbike, 565, 225, 127.27817419986904
2022-07-05 18:14:45, Camera 1, motorbike, 789, 144, -13.866896829494483
2022-07-05 18:14:54, Camera 1, motorbike, 418, 152, -132.03906386583625
2022-07-05 18:45:09, Camera 1, car, 857, 225, 126.86989764584402
2022-07-05 18:45:35, Camera 1, car, 233, 208, -143.61564818416412
2022-07-05 18:45:40, Camera 1, car, 1166, 225, 146.88865803962798
2022-07-05 18:46:00, Camera 1, car, 1013, 225, 145.61965527615513
2022-07-05 18:46:41, Camera 1, car, 191, 211, -148.2405199151872
2022-07-05 18:46:41, Camera 1, car, 871, 225, 127.40535663140857
2022-07-05 18:47:08, Camera 1, car, 1190, 218, 136.7357045889284
2022-07-05 18:47:47, Camera 1, car, 52, 209, -130.2363583092738
2022-07-05 18:47:57, Camera 1, car, 1031, 229, 145.00797980144134
2022-07-05 18:48:21, Camera 1, car, 882, 220, 127.40535663140857
2022-07-05 18:49:36, Camera 1, car, 1042, 221, 147.52880770915152
2022-07-05 19:00:58, Camera 1, car, 857, 225, 126.86989764584402
2022-07-05 19:01:28, Camera 1, car, 233, 208, -143.61564818416412
2022-07-05 19:01:33, Camera 1, car, 1166, 225, 146.88865803962798
2022-07-05 19:01:54, Camera 1, car, 1013, 225, 145.61965527615513
2022-07-05 19:02:41, Camera 1, car, 191, 211, -148.2405199151872
2022-07-05 19:02:41, Camera 1, car, 871, 225, 127.40535663140857
2022-07-05 19:03:17, Camera 1, car, 1190, 218, 136.7357045889284
2022-07-05 19:04:00, Camera 1, car, 52, 209, -130.2363583092738
2022-07-05 19:04:11, Camera 1, car, 1031, 229, 145.00797980144134
2022-07-05 19:04:37, Camera 1, car, 882, 220, 127.40535663140857
2022-07-05 19:13:48, Camera 1, car, 857, 225, 126.86989764584402
2022-07-05 19:14:35, Camera 1, car, 233, 208, -143.61564818416412
2022-07-05 19:14:45, Camera 1, car, 1166, 225, 146.88865803962798
2022-07-05 19:13:59, Camera 1, motorbike, 888, 218, 135.0
2022-07-05 19:15:22, Camera 1, car, 1013, 225, 145.61965527615513
2022-07-05 19:16:33, Camera 1, car, 191, 211, -148.2405199151872
2022-07-05 19:16:33, Camera 1, car, 871, 225, 127.40535663140857
2022-07-05 19:17:21, Camera 1, car, 1190, 218, 136.7357045889284
2022-07-05 19:18:24, Camera 1, car, 52, 209, -130.2363583092738
2022-07-05 19:18:33, Camera 1, car, 1031, 229, 145.00797980144134
2022-07-05 19:18:54, Camera 1, car, 882, 220, 127.40535663140857
2022-07-05 19:25:18, Camera 1, car, 944, 206, -42.87890360333855
2022-07-05 19:25:35, Camera 1, car, 817, 206, -58.3924977537511
2022-07-05 19:26:32, Camera 1, car, 479, 217, 63.43494882292201
2022-07-05 19:27:25, Camera 1, bus, 287, 218, 40.60129464500447
2022-07-05 19:27:28, Camera 1, car, 796, 215, -59.743562836470744
2022-07-05 19:27:38, Camera 1, car, 170, 217, 36.86989764584402
2022-07-05 19:28:02, Camera 1, car, 484, 219, 59.03624346792648
2022-07-05 19:28:09, Camera 1, truck, 1118, 209, -39.28940686250036
2022-07-05 19:28:24, Camera 1, car, 807, 215, -59.743562836470744
2022-07-05 19:29:03, Camera 1, car, 792, 210, -63.43494882292201
2022-07-05 19:29:27, Camera 1, car, 475, 218, 68.19859051364818
2022-07-05 19:29:59, Camera 1, car, 1064, 210, -33.690067525979785
2022-07-05 19:37:19, Camera 1, car, 1092, 225, 123.69006752597979
2022-07-05 19:38:23, Camera 1, car, 714, 216, -71.56505117707799
2022-07-05 19:39:26, Camera 1, car, 205, 216, -153.434948822922
2022-07-05 19:40:01, Camera 1, car, 385, 215, -135.0
2022-07-05 19:48:57, Camera 1, car, 1092, 225, 123.69006752597979
2022-07-05 20:02:03, Camera 1, car, 944, 206, -42.87890360333855
2022-07-05 20:02:13, Camera 1, car, 817, 206, -58.3924977537511
2022-07-05 20:02:52, Camera 1, car, 479, 217, 63.43494882292201
2022-07-05 20:03:34, Camera 1, bus, 287, 218, 40.60129464500447
2022-07-05 20:03:36, Camera 1, car, 796, 215, -59.743562836470744
2022-07-05 20:03:46, Camera 1, car, 170, 217, 36.86989764584402
2022-07-05 20:04:08, Camera 1, car, 484, 219, 59.03624346792648
2022-07-05 20:04:16, Camera 1, truck, 1118, 209, -39.28940686250036
2022-07-05 20:04:30, Camera 1, car, 807, 215, -59.743562836470744
2022-07-05 20:15:05, Camera 1, car, 857, 225, 126.86989764584402
2022-07-05 20:15:31, Camera 1, car, 233, 208, -143.61564818416412
2022-07-05 20:15:36, Camera 1, car, 1166, 225, 146.88865803962798
2022-07-05 20:15:55, Camera 1, car, 1013, 225, 145.61965527615513
2022-07-05 20:16:39, Camera 1, car, 191, 211, -148.2405199151872
2022-07-05 20:16:39, Camera 1, car, 871, 225, 127.40535663140857
2022-07-05 20:17:10, Camera 1, car, 1190, 218, 136.7357045889284
2022-07-05 20:17:51, Camera 1, car, 52, 209, -130.2363583092738
2022-07-05 20:18:01, Camera 1, car, 1031, 229, 145.00797980144134
2022-07-05 20:18:26, Camera 1, car, 882, 220, 127.40535663140857
2022-07-05 20:19:44, Camera 1, car, 1042, 221, 147.52880770915152
2022-07-05 20:29:19, Camera 1, car, 944, 206, -42.87890360333855
2022-07-05 20:29:32, Camera 1, car, 817, 206, -58.3924977537511
2022-07-05 20:50:23, Camera 1, car, 944, 206, -42.87890360333855
2022-07-05 20:50:35, Camera 1, car, 817, 206, -58.3924977537511
2022-07-05 20:51:21, Camera 1, car, 479, 217, 63.43494882292201
2022-07-05 20:52:12, Camera 1, bus, 287, 218, 40.60129464500447
2022-07-05 20:52:15, Camera 1, car, 796, 215, -59.743562836470744
2022-07-05 20:52:25, Camera 1, car, 170, 217, 36.86989764584402
2022-07-05 20:52:47, Camera 1, car, 484, 219, 59.03624346792648
2022-07-05 20:52:54, Camera 1, truck, 1118, 209, -39.28940686250036
2022-07-05 20:53:10, Camera 1, car, 807, 215, -59.743562836470744
2022-07-05 20:53:51, Camera 1, car, 792, 210, -63.43494882292201
2022-07-05 20:54:15, Camera 1, car, 475, 218, 68.19859051364818
2022-07-05 20:54:46, Camera 1, car, 1064, 210, -33.690067525979785
2022-07-05 20:54:51, Camera 1, car, 335, 219, 39.80557109226519
2022-07-05 21:02:00, Camera 1, motorbike, 656, 73, -62.409302746956854
2022-07-05 21:02:10, Camera 1, motorbike, 565, 225, 127.27817419986904
2022-07-05 21:03:06, Camera 1, motorbike, 789, 144, -13.866896829494483
2022-07-05 21:03:16, Camera 1, motorbike, 418, 152, -132.03906386583625
2022-07-05 21:03:29, Camera 1, motorbike, 460, 121, -96.07245640720771
2022-07-05 21:03:54, Camera 1, motorbike, 456, 96, -102.79345145999557
2022-07-05 21:03:58, Camera 1, motorbike, 588, 229, 51.66130163977016
2022-07-05 21:04:05, Camera 1, motorbike, 406, 77, -128.60762631996298
2022-07-05 21:04:12, Camera 1, motorbike, 911, 176, 88.31531568210372
